,0,1
1003,JOE BIDEN:,"So, thirdly, we're poorer.  The billionaires have gotten much, much more wealthy by a tune of over 3- to $400 billion more just since COVID.  You in the home, you got less.  You're in more trouble than you were before.  In terms of being more violent, when we were in office, there were 15 percent less violence in America than there is today.  He's President of United States.  It's on his watch.  And with regard to more divided, the nation can't stay divided.  We can't be this way.  And speaking of my son.  The way you talk about the military, the way you talk about them being losers and being and, and, and, and, and, and just being suckers – my son was in Iraq.  He spent a year there.  He got, he got the Bronze Star.  He got the Conspicuous Service Medal.  He was not a loser.  He was a patriot, and the people left behind there –"
1004,DONALD TRUMP:,Oh really?
1005,JOE BIDEN:,– were heroes. 
1006,DONALD TRUMP:,Really?
1007,JOE BIDEN:,And I resent like hell – 
1008,DONALD TRUMP:,Are you talking about Hunter?  Are you talking about Hunter?
1009,JOE BIDEN:,"I'm talking of my son, Beau Biden.  You're talking about being – "
1010,DONALD TRUMP:,"I don't know, I don't know Beau.  I know Hunter.  "
1011,JOE BIDEN:,"Yeah, you know Beau. "
1012,DONALD TRUMP:,"Hunter got thrown, Hunter got thrown out of the military.  He was thrown out, dishonorably discharged – "
1013,JOE BIDEN:,"That's not true, he wasn't dishonorably."
1014,DONALD TRUMP:,"– for cocaine use, and he didn't have a job until you became Vice President, and once you became Vice President – "
1015,JOE BIDEN:,None of that is true. 
1016,DONALD TRUMP:,"– he made a fortune in Ukraine, in China, in Moscow and – "
1017,JOE BIDEN:,That is simply not true. 
1018,DONALD TRUMP:,– and various other places. 
1019,JOE BIDEN:,My son – 
1020,DONALD TRUMP:,"He made a fortune, and he didn't have a job. "
1021,JOE BIDEN:,"My son, like a lot of people, like a lot of people we know at home, had a drug problem.  He's overtaken it.  He's, he's, he's fixed it.  He's worked on it, and I'm proud of him.  I'm proud of my son. "
1022,DONALD TRUMP:,But why was he given tens of millions of dollars?
1023,CHRIS WALLACE:,"All right, all right. "
1024,JOE BIDEN:,But he wasn't given tens of millions of dollars
1025,DONALD TRUMP:,He was given tens of millions of dollars. 
1026,JOE BIDEN:,"That is totally, that's been totally discredited."
1027,CHRIS WALLACE:,"President Trump, President Trump. "
1028,JOE BIDEN:,It's already been totally discredited.
1029,CHRIS WALLACE:,"You've already, you've already – we've already, we've both, we’ve already been through this.  I think the American people would rather hear about more substantial objections.  "
1030,DONALD TRUMP:,So do I. 
1031,CHRIS WALLACE:,"Well, you know, as the moderator, sir, I'm going to make a judgment call here. "
1032,DONALD TRUMP:,"I know, but when somebody gets $3 ½ million from the mayor of Moscow – "
1033,CHRIS WALLACE:,"Okay, right.  Let's talk about, let's talk about –"
1034,DONALD TRUMP:,– I think it's a terrible thing. 
1035,CHRIS WALLACE:,Gentlemen.
1036,JOE BIDEN:,"That is not true, that report is totally discredited. "
1037,DONALD TRUMP:,Why did he get it?
1038,CHRIS WALLACE:,"I, I think –"
1039,JOE BIDEN:,Mitt Romney on that committee said it wasn't worth tax payer's money.  That report is written for a political reason.  
1040,CHRIS WALLACE:,"You know, I'd like to talk about climate change. "
1041,JOE BIDEN:,So would I.
1042,CHRIS WALLACE:,"Okay.  The forest fires in the west are raging now.  They have burned millions of acres.  They have displaced hundreds of thousands of people.  When state officials there blame the fires on climate change, Mr. President, you said, ""I don't think the science knows"".  Over your 4 years, you have pulled the U.S. out of the Paris Climate Accord.  You have rolled back a number of Obama environmental records.  What do you believe about the science of climate change, and what will you do in the next 4 years to confront it?"
1043,DONALD TRUMP:,"I want crystal clean water and air.  I want beautiful clean air.  We have now the lowest carbon.  If you look at our numbers right now, we are doing phenomenally, but I haven't destroyed our businesses.  Our businesses aren't put out of commission.  If you look at the Paris Accord, it was a disaster from our standpoint, and people are actually very happy about what's going on, because our businesses are doing well.  As far as the fires are concerned, you need forest management in addition to everything else.  The forest floors are loaded up with trees, dead trees that are years old, and they're like tinder, and leaves and everything else.  You drop a cigarette in there, the whole forest burns down.  You've got to have forest management. "
1044,CHRIS WALLACE:,What do you believe –
1045,DONALD TRUMP:,You've got to have guts.
1046,CHRIS WALLACE:,"– what do you believe about the science of climate change, sir?"
1047,DONALD TRUMP:,"Uh, I believe that we have to do everything we can to have immaculate air, immaculate water, and do whatever else we can that's good.  You know, we're planting a billion trees, the Billion Tree Project, and it's very exciting for a lot of people."
1048,CHRIS WALLACE:,"Do you believe that, that human pollution, gas, greenhouse gas emissions contributes to the global warming of –"
1049,DONALD TRUMP:,"I think a lot of things do, but –"
1050,CHRIS WALLACE:,– this planet?
1051,DONALD TRUMP:,"– I think to an extent, yes.  I think to an extent, yes, but I also think we have to do better management of our forests.  Every year I get the call California's burning, California is burning.  If that was cleaned, if that were, if you had forest management, good forest management, you wouldn't be getting those calls.  You know, in Europe, they live, they have forest cities, they're called forest cities.  They maintain their forests.  They manage their forests.  I was with the head of a major country, it's a forest city.  He said, ""Sir, we have trees that are far more, they, they ignite much easier than California.  There shouldn't be that problem.""  I spoke with the Governor about it.  I'm getting along very well with the Governor, but I said you know, at some point, you can't every year have hundreds of thousands of acres of land just burned to the ground."
1052,CHRIS WALLACE:,"But, sir, but –"
1053,DONALD TRUMP:,That's burning down because of a lack of management.
1054,CHRIS WALLACE:,"– but sir, if you believe in the science of climate change, why have you rolled back the Obama Clean Power Plan, which limited carbon emissions and power plants, why have you relaxed –"
1055,DONALD TRUMP:,Because it was driving energy prices through the sky.
1056,CHRIS WALLACE:,Why have you relaxed fuel economy standards that are going to create more pollution from cars –
1057,DONALD TRUMP:,"Well, not really –"
1058,CHRIS WALLACE:,– and trucks?
1059,DONALD TRUMP:,"– because what's happening is the car is much less expensive, and it's a much safer car, and you're talking about a tiny difference.  And then what would happen, because of the cost of the car, you would have at least double and triple the number of cars purchased.  We have the old slugs out there that are 10, 12 years old.  If you did that, the car would be safer, it would be much cheaper by $3,500.00 –"
1060,CHRIS WALLACE:,"In, in the case of California, they've simply (inaudible) –"
1061,DONALD TRUMP:,"No, but you would take a lot of cars off the market, because people would be able to afford a car.  Now, so, and by the way, we're going to see how that turns out, but a lot of people agree with me, many people.  The car has gotten so expensive, because they have computers all over the place for an extra little bit –"
1062,CHRIS WALLACE:,Okay.
1063,DONALD TRUMP:,"– of gasoline.  And by the, –"
1064,JOE BIDEN:,That's not –
1065,DONALD TRUMP:,"– and, and, and I'm okay with electric cars too.  I think, I'm all for electric cars.  I've given big incentives for electric cars, but what they've done in California is just crazy."
1066,CHRIS WALLACE:,"All right.  Vice President Biden, I'd like you to, to respond to the President's climate change record, but I also want to ask you about, uh, a concern you proposed $2 trillion in green jobs.  You talk about new limits, not abolishing, but new limits on fracking, ending the use of fossil fuels to generate electricity by 2035, and zero net emission of greenhouse gases by 2050.  The President says a lot of these things would tank the economy and cost millions of jobs."
1067,JOE BIDEN:,"He's absolutely wrong, number one.  Number two, if in fact when, when, our, during our administration, the Recovery Act, I was able to, I was in charge, able to bring down the costs of renewable energy to cheaper than, or as cheap as, coal and gas and oil.  Nobody's going to build another, uh, uh, coal fire plant in America.  No one's going to build another oil fire plant in America.  They're going to move to renewable energy, number one.  Number two, we're going to make sure that we are able to take the federal fleet and turn it into a fleet that's run on – they're electric vehicles, making sure that we can do that.  We're going to put 500,000 charging stations, and all of the highways that we're going to be building in the future.  We're going to build a economy that in fact is going to provide for the ability us to take 4 million buildings and make sure that they in fact are weatherized in a way that in fact will – they'll, uh, they'll emit significantly less gas and oil, because the heat will not be going out.  There's so many things that we can do now to create thousands and thousands of jobs.  We can get to net zero in terms of energy production by 2035, not only not costing people jobs, creating jobs.  Creating millions of good paying jobs.  Not 15 bucks an hour, but prevailing wage by having a new infrastructure that in fact is green.  And the first thing I will do, I will rejoin the Paris Accord.  I will join the Paris Accord, because with us out of it, look what's happening.  It's all falling apart.  And talk about someone who has no, no relationship to, uh, with foreign policy, Brazil, the rain forests of Brazil are being torn down, are being ripped down.  More, more carbon is absorbed in that rain forest than every bit of carbon that's emitted in the United States.  Instead of doing something about that, I would be gathering up and making sure we had the, the countries of the world coming up with $20 billion and say, here's $20 billion.  Stop, stop, uh, tearing down the forest, and if you don't, then you're going to significant economic consequences –"
1068,CHRIS WALLACE:,"What about, what about the argument that, uh, President Trump basically says that you have to balance environmental interests and economic interests, and he's drawn his line –"
1069,JOE BIDEN:,"Well, he hasn't drawn a line.  He's still, for example, make sure that we, he wants to make sure that methane's not a problem.  We can, you, you can now emit more methane without it being a problem, methane."
1070,DONALD TRUMP:,Not true.
1071,JOE BIDEN:,"This is a guy who says that you don't have to have mileage standards for automobiles that exist now.  This is a guy who says that, well, uh, the fact that –"
1072,DONALD TRUMP:,Not true.  Not true.
1073,JOE BIDEN:,"– it, it, it, it's all true and here's the deal –"
1074,DONALD TRUMP:,"He's talking about the Green New Deal, and it's not $2 billion or $20 billion as you said."
1075,JOE BIDEN:,I'm –
1076,DONALD TRUMP:,It's $100 trillion.
1077,JOE BIDEN:,– I'm talking about the climate plan.
1078,DONALD TRUMP:,Where they want to rip down buildings –
1079,CHRIS WALLACE:,"Let him go for a minute, and then you can go."
1080,DONALD TRUMP:,– and rebuild the building.
1081,JOE BIDEN:,No.
1082,DONALD TRUMP:,It's the dumbest –
1083,JOE BIDEN:,That is not –
1084,DONALD TRUMP:,– most ridiculous –
1085,JOE BIDEN:,– that is not the case.
1086,DONALD TRUMP:,Where airplanes are out of business.
1087,JOE BIDEN:,That's not –
1088,DONALD TRUMP:,Where two-car systems are out.
1089,JOE BIDEN:,Not true.
1090,DONALD TRUMP:,"Where they want to take out the cows, too."
1091,JOE BIDEN:,Not true.
1092,DONALD TRUMP:,"You know, that's not true either, right?"
1093,JOE BIDEN:,Not true.
1094,DONALD TRUMP:,"This is a, this is a $100 trillion –"
1095,JOE BIDEN:,"Simply, look –"
1096,DONALD TRUMP:,That's more money than our –
1097,JOE BIDEN:,That is –
1098,DONALD TRUMP:,– country could make in 100 years –
1099,JOE BIDEN:,– that is simply –
1100,DONALD TRUMP:,– if we would –
1101,JOE BIDEN:,– not the case.
1102,CHRIS WALLACE:,"All right, let me, let me –"
1103,DONALD TRUMP:,"It will, it will destroy –"
1104,CHRIS WALLACE:,"– let me, let me, because, because I actually –"
1105,DONALD TRUMP:,– our country.
1106,CHRIS WALLACE:,"Wait a minute, sir.  I actually have studied your plan, and it includes upgrading 4 million buildings –"
1107,DONALD TRUMP:,Yeah.
1108,CHRIS WALLACE:,"– weatherizing 2 million homes over 4 years, building 1 ½ million energy efficient homes, so the question becomes, the President is saying, I think some people who support the President would say that sounds like it's going to cost a lot of money and hurt the economy."
1109,JOE BIDEN:,"What it's going to do is going to create thousands and millions of jobs, good paying jobs."
1110,DONALD TRUMP:,$100 trillion.
1111,CHRIS WALLACE:,"Let him finish, sir."
1112,JOE BIDEN:,He doesn't know how to do that.
1113,DONALD TRUMP:,$100 trillion.
1114,JOE BIDEN:,"The fact is it's going to create millions of good paying jobs, and these tax incentives to people, for people to weatherize, which he wants to get, get rid of.  It's going to make the economy much safer.  Look how much we're paying now to deal with the hurricanes with, to deal, deal with – by the way, he has an answer for hurricanes.  He said maybe we should drop a nuclear weapon on them and they may –"
1115,DONALD TRUMP:,I never said that at all.
1116,JOE BIDEN:,"Actually, he, he did say that."
1117,DONALD TRUMP:,You made it up.
1118,JOE BIDEN:,"Uh, and here's the deal –"
1119,DONALD TRUMP:,You make up a lot.
1120,JOE BIDEN:,"– we're, we're going to be in a position where we can create hard, hard good jobs by making sure the environment is clean, and we all are in better shape.  We spend billions of dollars now, billions of dollars on floods, hurricanes, rising seas.  We're in real trouble.  Look what's happened just in the Midwest with these storms that come through and wipe out entire sections and counties in Iowa.  That didn't happen before, but because of global warming, we make up 15 percent of the world's problem.  We in fact, but the, the rest of the world, we got to get them to come along, and that's why we have to get back into, back into the Paris Accord."
1121,CHRIS WALLACE:,"All right, gentlemen, we –"
1122,DONALD TRUMP:,"Wait a minute, Chris, so why didn't he do it for 47 years?  You were Vice President.  Why –"
1123,JOE BIDEN:,For 47?
1124,DONALD TRUMP:,"– didn't you get the world – China sends up real dirt into the air, Russia does, India does, they all do.  We're supposed to be good and by the way, he made a couple of statements, the Green New Deal is $100 trillion, not –"
1125,JOE BIDEN:,That is not my plan.
1126,DONALD TRUMP:,"That's, uh, well –"
1127,JOE BIDEN:,The Green New Deal –
1128,DONALD TRUMP:,– you want to rebuild every building.
1129,JOE BIDEN:,– is not my plan.
1130,DONALD TRUMP:,You want to rebuild every –
1131,CHRIS WALLACE:,"All right, you have, you have – "
1132,JOE BIDEN:,If he knew anything about – if he knew anything about –
1133,DONALD TRUMP:,But –
1134,CHRIS WALLACE:,"Wait, wait, wait."
1135,DONALD TRUMP:,– he made a statement about the military.
1136,CHRIS WALLACE:,– gentlemen.
1137,DONALD TRUMP:,He said I said something about the military.
1138,JOE BIDEN:,Okay.
1139,DONALD TRUMP:,"He and his friends made it up, and then they went with it.  I never said it."
1140,CHRIS WALLACE:,Okay.
1141,JOE BIDEN:,That is not true.
1142,DONALD TRUMP:,What he did is he said –
1143,CHRIS WALLACE:,"What, uh, we're done with the segment."
1144,DONALD TRUMP:,– he called the military –
1145,CHRIS WALLACE:,Mr. Vice –
1146,DONALD TRUMP:,– stupid bastards.
1147,CHRIS WALLACE:,"Mr. Vice President, I –"
1148,JOE BIDEN:,I did not say that.
1149,DONALD TRUMP:,"He said it on tape.  He said ""stupid bastards."""
1150,CHRIS WALLACE:,Mr. – Please.
1151,JOE BIDEN:,That is not true.
1152,DONALD TRUMP:,He said it.
1153,CHRIS WALLACE:,Stop.
1154,DONALD TRUMP:,I would never say that.
1155,CHRIS WALLACE:,I would –
1156,JOE BIDEN:,Play it.
1157,CHRIS WALLACE:,"Stop.  Go ahead, "
1158,DONALD TRUMP:,You're on tape.
1159,CHRIS WALLACE:,Mr. Vice President –
1160,JOE BIDEN:,"Uh, –"
1161,CHRIS WALLACE:,"– answer his, his final question."
1162,JOE BIDEN:,"The final question is, I can't remember which of all his rantings and –"
1163,CHRIS WALLACE:,"I'm having a little trouble myself, but, uh, and, and about the economy and about this question of what it's going to cost –"
1164,JOE BIDEN:,"The, the economy, the economy –"
1165,CHRIS WALLACE:,"I mean, the Green New Deal and the idea of what, what your environmental changes will do."
1166,JOE BIDEN:,"The, the Green New Deal will pay for itself as we move forward.  We're not going to build plants that in fact are great polluting plants.  We're going to build –"
1167,CHRIS WALLACE:,But do you support the Green New Deal?
1168,JOE BIDEN:,Pardon me?
1169,CHRIS WALLACE:,Do you support –
1170,JOE BIDEN:,"No, I don't support the Green New Deal."
1171,DONALD TRUMP:,"Oh, you don't?  Oh, well that's a big statement."
1172,JOE BIDEN:,I support the Biden –
1173,DONALD TRUMP:,That means you just lost the radical left.  
1174,JOE BIDEN:,"I, I support the Biden plan –"
1175,DONALD TRUMP:,"No, you don't."
1176,JOE BIDEN:,– that I put forward.
1177,CHRIS WALLACE:,Okay.
1178,JOE BIDEN:,"The Biden plan, which is different than what he calls the radical Green New Deal."
1179,CHRIS WALLACE:,"All right, gentlemen, final segment.  Election integrity.  As we meet tonight, millions of Americans are receiving mail-in ballots or going to vote early.  How confident should we be that this will be a fair election, and what are you prepared to do over the next 5 plus weeks, because it'll not only be to election day, but also counting some ballots, mail-in ballots after election day, what are you prepared to do to reassure the American people that the next President will be the legitimate winner of this election.  In this final segment, Mr. Vice President, you go first."
1180,JOE BIDEN:,"I'm prepared to let people vote.  They should go to IWillVote.com, decide how they're going to vote, when they're going to vote and what means by which they're going to vote.  His own Homeland Security Director, and as well as the FBI Directors, says there is no evidence at all that mail-in ballots are a source of, of being manipulated and cheating.  They said that.  The fact is that there are going to be millions of people, because of COVID, that are going to be voting by mail-in ballots, like he does, by the way.  He sits behind the Resolute Desk and sends his ballot to Florida, number one.  Number two, we're going to make sure that those people who want to vote in person are able to vote, because there are enough poll watchers are there to make sure they can socially distance, the polls are open on time, and the polls stay open until the votes are counted.  And this is all about trying to dissuade people from voting, because he's trying to conf, to, to scare people into thinking that it's not going to be legitimate.  Show up and vote.  You will determine the outcome of this election.  Vote, vote, vote.  If you're able to vote early in your state, vote early.  If you're able to vote in person, vote in person, vote whatever way is the best way for you, because you will – he cannot stop you from being able to determine the outcome of this election.  And in terms of whether or not when the votes are counted and they're all counted, that will be accepted.  If I win, that will be accepted.  If I lose, that will be accepted.  But by the way, if in fact he says he's not sure what he's going to accept?  Well let me tell you something, it doesn't matter, because if we get the votes, it's going to be all over.  He's going to go.  He can't stay in power.  It won't happen.  It won't happen.  So vote.  Just make sure you understand, you have it in your control to determine what this country is going to look like the next 4 years.  Is it going to change or you get 4 more years of these lies?"
1181,CHRIS WALLACE:,"Mr. President, 2 minutes."
1182,DONALD TRUMP:,"So when I listen to Joe talking about a transition, uh, there's been no transition from when I won.  I won that election, and if you look at crooked Hillary Clinton, if you look at all the different people, uh, there was no transition, because they came after me trying to do a coup.  They came after me spying on my campaign.  They started from the day I won and even before I won, from the day I came down the escalator with our First Lady.  They were a disaster.  They were a disgrace to our country, and we've caught them, we've caught them all.  We've got it all on tape, we've caught them all.  And by the way, you gave the idea for the Logan Act against General Flynn.  You better take a look at that, because we caught you in a sense, and President Obama was sitting in the office.  He knew about it too, so don't tell me about a free transition.  As far as the ballots are concerned, it's a disaster.  A solicited ballot, okay, solicited is okay.  You're soliciting, you're asking, they send it back, you send it back.  I did that.  If you have an unsolicited – they're sending millions of ballots all over the country.  There's fraud.  They found them in creeks.  They found some with the name Trump – just happened to have the name Trump, just the other day in a wastepaper basket.  They're being sent all over the place.  They sent two in a Democrat area.  They sent out a thousand ballots, everybody got two ballots.  This is going to be a fraud like you've never seen.  The other thing, it's nice on November 3rd, you're watching and you see who won the election, and I think we're going to do well, because people are really happy with the job we've done.  But you know what, we won't know.  We might not know for months, because these ballots are going to be all over.  Take a look at what happened in Manhattan.  Take a look at what happened in New Jersey.  Take a look at what happened in Virginia and other places.  They're not losing 2 percent, 1 percent, which by the way is too much.  An election could be won or lost with that.  They're losing 30 and 40 percent.  It's a fraud, and it's a shame, and can you imagine where they say, uh, you have to have your ballot in by November 10th.  November 10th.  That means, that's 7 days after the election, in theory should have been announced."
1183,CHRIS WALLACE:,Okay.
1184,DONALD TRUMP:,We have major states with that –
1185,CHRIS WALLACE:,"That's time, uh, sir –"
1186,DONALD TRUMP:,– all run by Democrats.
1187,CHRIS WALLACE:,– 2 minutes is 2 minutes.
1188,DONALD TRUMP:,All run by Democrats.
1189,CHRIS WALLACE:,"You're, you're, –"
1190,DONALD TRUMP:,It's a fraud.
1191,CHRIS WALLACE:,"– President Trump, I –"
1192,DONALD TRUMP:,It's a rigged election.
1193,CHRIS WALLACE:,"– I, I, you're, you're going to be able to continue.  You have been charging for months that mail-in balloting is going to be a disaster.  You say it's rigged, and said it's going to lead to fraud, but in 2018, in the last mid-term election, 31 million people voted mail-in voting.  That was a quarter, more than a quarter of all the voters that year, cast their ballots by mail.  Now that millions of mail-in ballots have gone out, what are you going to do about it, and are you counting on the Supreme Court, including Justice Barrett to settle any dispute?"
1194,DONALD TRUMP:,"Yeah, I, I think I'm counting on them to look at the ballots, definitely.  I don't think we'll – I hope we don't need them in terms of the election itself, but for the ballots, I think so, because what's happening is incredible.  I just heard, I read today where at least 1 percent of the ballots for 2016, were invalidated.  They, they take them, we don't like them, we don't like them, they throw them out left and right."
1195,CHRIS WALLACE:,But what are you going to do about it if there are millions of ballots going out right now –
1196,DONALD TRUMP:,What you do is you –
1197,CHRIS WALLACE:,– what do you do?
1198,DONALD TRUMP:,– you go and vote.  You do a solicited ballot –
1199,CHRIS WALLACE:,"No, no, I'm not talking –"
1200,DONALD TRUMP:,"– and that's okay, or –"
1201,CHRIS WALLACE:,– I know your complaint.
1202,DONALD TRUMP:,– you go and vote.
1203,CHRIS WALLACE:,– I'm asking you about the fact that millions of people –
1204,DONALD TRUMP:,You go and vote.
1205,CHRIS WALLACE:,– have received –
1206,DONALD TRUMP:,You go and vote.
1207,CHRIS WALLACE:,"No, but what I'm saying is –"
1208,DONALD TRUMP:,Like they –
1209,CHRIS WALLACE:,– what are you going to do about the fact –
1210,DONALD TRUMP:,– used to in the old –
1211,CHRIS WALLACE:,– that millions of people –
1212,DONALD TRUMP:,"You either do, Chris, a solicited ballot where you're sending it in, they're sending it back and you're sending – they have mailmen with lots of it – did you see what's going on?  Take a look at West Virginia, mailmen selling the ballots.  They're being sold, they're being dumped in rivers.  This is a horrible thing for our country."
1213,JOE BIDEN:,"There is no, –"
1214,DONALD TRUMP:,This is not –
1215,JOE BIDEN:,– there is no evidence of that –
1216,DONALD TRUMP:,– this is not going to end well.
1217,JOE BIDEN:,There is no evidence of that.
1218,CHRIS WALLACE:,Okay.
1219,DONALD TRUMP:,This is not going to end well.
1220,CHRIS WALLACE:,Vice President Biden.
1221,JOE BIDEN:,There are five states that had mail-in ballots –
1222,CHRIS WALLACE:,"In fact, go ahead, sir."
1223,JOE BIDEN:,"– for the last decade or more, or five, including two Republican states and you don't have to solicit the ballot, it's sent to you, it's sent to your home.  What we're saying is, they're saying is that there has to be a postmark by the time, by election day.  If it doesn't get in until the 7th, 8th, 9th, it still should be counted.  He's just afraid of counting the votes because he knows the outcome –"
1224,DONALD TRUMP:,"You're wrong, you're wrong."
1225,JOE BIDEN: ,I am not wrong.
1226,CHRIS WALLACE:,"Well, that, no, I want to, I want to continue –"
1227,DONALD TRUMP:,I love counting the votes.  I love counting the votes.
1228,CHRIS WALLACE:,"– with you on this, uh, Vice President Biden, because –"
1229,DONALD TRUMP:,"Chris, he's so wrong when he makes a statement like that."
1230,CHRIS WALLACE:,"In fact, no, excuse me, uh, Vice President Biden, the biggest problem in fact over the years with mail-in voting has not been fraud historically.  It has been that sizeable numbers, sometimes hundreds of thousands of ballots are thrown out, because they, uh, have not been properly filled out or there is some other irregularity, or they missed –"
1231,DONALD TRUMP:,That would be fraud.
1232,CHRIS WALLACE:,"– the deadline.  So the question I have is are you concerned that the Supreme Court, with the Justice Barrett, will settle any dispute?"
1233,JOE BIDEN:,"I'm concerned that any court would settle this, because here's the deal, when you, when you file, when you get a ballot and you fill it out, you're supposed to have an affidavit.  If you didn't know, you have, uh, someone say that this is me.  You should be able to, if in fact you can verify that you, when, before the ballot is thrown out, that's sufficient to be able to count the ballot, because someone made a mistake in not, uh, dotting the correct I.  Who they voted for, testify, say who they voted for, uh, say it's you, that is totally legitimate."
1234,CHRIS WALLACE:,"All right, –"
1235,DONALD TRUMP:,Excuse me –
1236,CHRIS WALLACE:,"A final – no, no, no."
1237,DONALD TRUMP:,"– Chris, when you have 80 million –"
1238,CHRIS WALLACE:,"I have a final, I –"
1239,DONALD TRUMP:,– ballots –
1240,CHRIS WALLACE:,"Gentlemen, I have a final question."
1241,DONALD TRUMP:,– sending and swamping the system –
1242,CHRIS WALLACE:,"– I, I, you're, you, you've –"
1243,DONALD TRUMP:,You know it can't be done.  You know it can't and already –
1244,CHRIS WALLACE:,All right.
1245,DONALD TRUMP:,– there's been fraud –
1246,CHRIS WALLACE:,So now –
1247,DONALD TRUMP:,– deception –
1248,CHRIS WALLACE:,"Wait a minute, gentlemen.  A final question –"
1249,JOE BIDEN:,The mail service delivers 185 million pieces of mail a day.
1250,DONALD TRUMP:,You have 80 million ballots.
1251,CHRIS WALLACE:,In eight states – we can keep talking.
1252,DONALD TRUMP:,"It's, it's, it's a disgrace."
1253,CHRIS WALLACE:,"In eight states, election workers are prohibited currently by law, eight states, from even beginning to process ballots, even take them out of the envelopes and –"
1254,JOE BIDEN:,Yes.
1255,CHRIS WALLACE:,"– flatten them until election day.  That means that it's likely, because there's going to be a huge increase in mail-in balloting that we are not going to know on election night who the winner is, that it could be days, it could be weeks –"
1256,DONALD TRUMP:,It could be months.
1257,CHRIS WALLACE:,"– until we find out who the, the, the new President is.  So I, first for you, sir, finally for the, for the Vice President and I hope neither of you will interrupt the other, will you urge your supporters to stay calm during this extended period, not to engage in any civil unrest, and will you pledge tonight that you will not declare victory until the election has been independently certified?  President Trump, you go first."
1258,DONALD TRUMP:,"I'm urging my supporters to go into the polls and watch very carefully, because that's what has to happen.  I am urging them to do it.  As you know, today there was a big problem.  In Philadelphia, they went in to watch.  They were, uh, called poll watchers, a very safe, very nice thing.  They were thrown out.  They weren't allowed to watch.  You know why?  Because bad things happen in Philadelphia, bad things, and I am urging –"
1259,CHRIS WALLACE:,I –
1260,DONALD TRUMP:,– I am urging my people – I hope it's going to be a fair election.  If it's a fair election –
1261,CHRIS WALLACE:,You're urging them what?
1262,DONALD TRUMP:,"– I am 100 percent on board, but if I see tens of thousands of ballots being manipulated, I can't go along with that, and I'll tell you what –"
1263,CHRIS WALLACE:,"Wait, what does that mean –"
1264,DONALD TRUMP:,– from a common sense –
1265,CHRIS WALLACE:,– can't go along?  Does that mean you're going to –
1266,DONALD TRUMP:,I'll tell you what it means.
1267,CHRIS WALLACE:,– tell your people to take to the streets?
1268,DONALD TRUMP:,It means you have a fraudulent election.
1269,CHRIS WALLACE:,And what are you going to do –
1270,DONALD TRUMP:,You're sending out 80 million ballots –
1271,CHRIS WALLACE:,– and what will you do about that?
1272,DONALD TRUMP:,"They're not, they're not equipped to – these people aren't equipped to handle it, number one.  Number two, –"
1273,CHRIS WALLACE:,Okay.
1274,DONALD TRUMP:,"– they cheat, they cheat.  Hey, they found ballots in a wastepaper basket 3 days ago –"
1275,CHRIS WALLACE:,But –
1276,DONALD TRUMP:,– and they all had the name –
1277,CHRIS WALLACE:,All right.
1278,DONALD TRUMP:,"Military ballots, they were military.  They all had the name Trump on them."
1279,CHRIS WALLACE:,"Uh, Vice President Biden –"
1280,DONALD TRUMP:,You think that's good?
1281,CHRIS WALLACE:,"– uh, Vice President Biden, final question for you.  Will you urge your supporters to stay calm while the vote is counted, and will you pledge not to declare victory until the election is independently certified?"
1282,JOE BIDEN:,"Yes, and here's the deal, we'll count the ballots.  As you pointed out, some of these ballots in some states can't even be opened until election day, and if there's thousands of ballots, it's going to take time to do it.  And by the way, our military, they've been voting by ballots for, since the end of the civil war in effect.  And that's, and that's what's going to happen.  Why was it not, why is it for them somehow not fraudulent?  It's the same process.  It's honest.  No one has established at all that there is, uh, fraud related to mail-in ballots that, uh, somehow, it's a fraudulent process."
1283,DONALD TRUMP:,It's already been established.
1284,JOE BIDEN:,"It, it's a, –"
1285,DONALD TRUMP:,Take a look at Carolyn Maloney's race.
1286,CHRIS WALLACE:,"I know, I, I, I asked you.  You had an opportunity to respond."
1287,DONALD TRUMP:,Look at Carolyn Maloney –
1288,CHRIS WALLACE:,Go ahead.
1289,DONALD TRUMP:,– they have no idea what happened.
1290,CHRIS WALLACE:,"Vice President Biden, go ahead."
1291,JOE BIDEN:,"He has no idea what he's talking about.  Here's the deal, the fact is I will accept it and he will too.  You know why?  Because once the winner is declared after all the, all the ballots are counted, all the votes are counted, that'll be the end of it.  That'll be the end of it.  And if it's me, in fact, fine.  If it's, if it's not me, I'll support the outcome, and I'll be a President not just for the, uh, Democrats, I'll be a President for Democrats and Republicans.  And this guy –"
1292,DONALD TRUMP:,I want to see an honest ballot –
1293,JOE BIDEN:,– if in fact –
1294,CHRIS WALLACE:,"Uh, gentlemen, we'll say that's the end of it."
1295,DONALD TRUMP:,"We, Chris, I want to –"
1296,CHRIS WALLACE:,This is the end of this debate.
1297,DONALD TRUMP:,– see an honest ballot count.
1298,CHRIS WALLACE:,We're going to leave it there.
1299,DONALD TRUMP:,I think he does too.
1300,CHRIS WALLACE:,"Uh, to be continued as, in more debates as we go on.  Uh, President Trump, Vice President Biden, it's been an interesting hour and a half.  I want to thank you both for participating in the first of three debates that you have agreed to engage in.  We want to thank Case Western Reserve University –"
1301,JOE BIDEN:,Yes.
